"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 18:35:20 GMT 2024","Wed Feb 07 18:35:20 GMT 2024","228","","CoinCapApiTests","","CoinCapApiTests","fetchAssetHistoryWithInvalidSymbol","fetchAssetHistoryWithInvalidSymbol()","Fetch Asset History with Invalid Symbol"
"passed","Wed Feb 07 18:35:19 GMT 2024","Wed Feb 07 18:35:20 GMT 2024","814","","CoinCapApiTests","","CoinCapApiTests","verifyAssetsRatesResponseSchema","verifyAssetsRatesResponseSchema()","Verify Response Schema for Assets Rates"
"passed","Wed Feb 07 18:35:20 GMT 2024","Wed Feb 07 18:35:21 GMT 2024","256","","CoinCapApiTests","","CoinCapApiTests","testHistoricalDataEndpoint","testHistoricalDataEndpoint()","Verify Historical Data Endpoint"
"passed","Wed Feb 07 18:35:17 GMT 2024","Wed Feb 07 18:35:19 GMT 2024","2487","","CoinCapApiTests","","CoinCapApiTests","testListAssetsResponseSchema","testListAssetsResponseSchema()","Verify Response Schema for List of Assets"
"passed","Wed Feb 07 18:35:20 GMT 2024","Wed Feb 07 18:35:20 GMT 2024","234","","CoinCapApiTests","","CoinCapApiTests","testSortingByMarketCap","testSortingByMarketCap()","Verify Sorting by Market Capital"
"passed","Wed Feb 07 18:35:21 GMT 2024","Wed Feb 07 18:35:21 GMT 2024","226","","CoinCapApiTests","","CoinCapApiTests","testSingleAssetResponseSchema","testSingleAssetResponseSchema()","Verify Response Schema for Single Asset"
"passed","Wed Feb 07 18:35:21 GMT 2024","Wed Feb 07 18:35:21 GMT 2024","269","","CoinCapApiTests","","CoinCapApiTests","verifySingleAssetRatesResponseSchema","verifySingleAssetRatesResponseSchema()","Verify Response Schema for Single Asset Rates"
