"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 20:56:03 GMT 2024","Tue Jan 30 20:56:03 GMT 2024","289","","CoinCapApiTests","","CoinCapApiTests","verifyAssetsRatesResponseSchema","verifyAssetsRatesResponseSchema()","Verify Response Schema for Assets Rates"
"passed","Tue Jan 30 20:56:03 GMT 2024","Tue Jan 30 20:56:04 GMT 2024","273","","CoinCapApiTests","","CoinCapApiTests","testSortingByMarketCap","testSortingByMarketCap()","Verify Sorting by Market Capital"
"passed","Tue Jan 30 20:56:00 GMT 2024","Tue Jan 30 20:56:03 GMT 2024","2519","","CoinCapApiTests","","CoinCapApiTests","testListAssetsResponseSchema","testListAssetsResponseSchema()","Verify Response Schema for List of Assets"
"passed","Tue Jan 30 20:56:04 GMT 2024","Tue Jan 30 20:56:04 GMT 2024","514","","CoinCapApiTests","","CoinCapApiTests","testSingleAssetResponseSchema","testSingleAssetResponseSchema()","Verify Response Schema for Single Asset"
"passed","Tue Jan 30 20:56:03 GMT 2024","Tue Jan 30 20:56:03 GMT 2024","238","","CoinCapApiTests","","CoinCapApiTests","fetchAssetHistoryWithInvalidSymbol","fetchAssetHistoryWithInvalidSymbol()","Fetch Asset History with Invalid Symbol"
"passed","Tue Jan 30 20:56:04 GMT 2024","Tue Jan 30 20:56:05 GMT 2024","219","","CoinCapApiTests","","CoinCapApiTests","verifySingleAssetRatesResponseSchema","verifySingleAssetRatesResponseSchema()","Verify Response Schema for Single Asset Rates"
"passed","Tue Jan 30 20:56:04 GMT 2024","Tue Jan 30 20:56:04 GMT 2024","263","","CoinCapApiTests","","CoinCapApiTests","testHistoricalDataEndpoint","testHistoricalDataEndpoint()","Verify Historical Data Endpoint"
