"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 17:54:43 GMT 2024","Tue Jan 30 17:54:44 GMT 2024","285","","CoinCapApiTests","","CoinCapApiTests","testSortingByMarketCap","testSortingByMarketCap()","Verify Sorting by Market Capital"
"passed","Tue Jan 30 17:54:44 GMT 2024","Tue Jan 30 17:54:44 GMT 2024","232","","CoinCapApiTests","","CoinCapApiTests","verifySingleAssetRatesResponseSchema","verifySingleAssetRatesResponseSchema()","Verify Response Schema for Single Asset Rates"
"passed","Tue Jan 30 17:54:43 GMT 2024","Tue Jan 30 17:54:43 GMT 2024","234","","CoinCapApiTests","","CoinCapApiTests","fetchAssetHistoryWithInvalidSymbol","fetchAssetHistoryWithInvalidSymbol()","Fetch Asset History with Invalid Symbol"
"passed","Tue Jan 30 17:54:40 GMT 2024","Tue Jan 30 17:54:43 GMT 2024","2483","","CoinCapApiTests","","CoinCapApiTests","testListAssetsResponseSchema","testListAssetsResponseSchema()","Verify Response Schema for List of Assets"
"passed","Tue Jan 30 17:54:44 GMT 2024","Tue Jan 30 17:54:44 GMT 2024","257","","CoinCapApiTests","","CoinCapApiTests","testHistoricalDataEndpoint","testHistoricalDataEndpoint()","Verify Historical Data Endpoint"
"passed","Tue Jan 30 17:54:44 GMT 2024","Tue Jan 30 17:54:44 GMT 2024","240","","CoinCapApiTests","","CoinCapApiTests","testSingleAssetResponseSchema","testSingleAssetResponseSchema()","Verify Response Schema for Single Asset"
"passed","Tue Jan 30 17:54:43 GMT 2024","Tue Jan 30 17:54:43 GMT 2024","292","","CoinCapApiTests","","CoinCapApiTests","verifyAssetsRatesResponseSchema","verifyAssetsRatesResponseSchema()","Verify Response Schema for Assets Rates"
